name,ingredients,diet,prep_time,cook_time,total_time,difficulty,flavor_profile,course,state,region,img_url,instructions
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,30,Medium,spicy,main course,Tamil Nadu,South,https://rakskitchen.net/wp-content/uploads/2014/09/15019052857_64249b76bd_z.jpg,"Rinse 1 cup of chana dal and 1/2 cup of urad dal together and soak them in water for at least 4 hours or overnight.
Drain the water and grind the dal mixture into a smooth paste using a blender or grinder.
Heat 1 tablespoon of oil in a pan over medium heat and add 1 teaspoon of sesame seeds and let them splutter.
Add 5-6 curry leaves to the pan and sauté until they turn light brown and fragrant.
Add 1 cup of fresh coconut gratings to the pan and sauté until they turn light brown and fragrant.
Add the ground dal paste to the pan and sauté for about 5 minutes, stirring constantly, until the mixture thickens and turns light brown.
Remove the pan from heat and let the mixture cool down completely.
Once cooled, mix the mixture well and shape into small balls, about the size of small lemons.
Flatten each ball slightly into a disk shape to form the Currivepillai sadam.
Serve the Currivepillai sadam warm or at room temperature."
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,100,Hard,spicy,main course,Rajasthan,West,https://www.ammakithaali.com/wp-content/uploads/2022/07/dalbtichrma-1024x576.jpg,"Rinse the moong dal, masoor dal, and chana dal together and soak them in water for at least 30 minutes.
Drain the water and grind the dal mixture into a coarse paste using a blender or grinder.
Heat 2 tablespoons of ghee in a large pan over medium heat and add the ground dal paste.
Cook the dal mixture for 10-12 minutes, stirring frequently, until it thickens and turns light brown.
Add 2 cups of water to the pan and bring the mixture to a boil, then reduce the heat to low and simmer for 10-15 minutes or until the daal is cooked and mushy.
Meanwhile, combine 2 cups of wheat flour, 1 teaspoon of salt, and 1/4 teaspoon of baking powder in a large mixing bowl.
Gradually add 1/2 cup of lukewarm water to the flour mixture and knead it into a soft dough.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into 6-8 equal portions and shape each portion into a ball.
Flatten each ball into a disk shape using a rolling pin or your hands.
Heat a non-stick pan or griddle over medium heat and cook the baatis for 1-2 minutes on each side, until they are golden brown and puffed up.
To make the churma, blend 1/2 cup of almonds into a fine powder using a blender or grinder.
Heat 1 tablespoon of ghee in a pan over low heat and add the almond powder, stirring constantly, until it turns light brown and fragrant.
Add 1/2 cup of sugar to the pan and stir until it dissolves and the mixture turns into a smooth paste.
Serve the daal over the baati, topped with a spoonful of churma and a dollop of ghee, if desired."
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,20,30,50,Hard,spicy,main course,Gujarat,West,https://hebbarskitchen.com/wp-content/uploads/2019/02/dal-dhokli-recipe-how-to-make-traditional-gujarati-dal-dhokli-1-1068x1602.jpeg,"In a large mixing bowl, combine 1 cup of whole wheat flour and 1/2 cup of bengal gram flour, mixing well to incorporate.
Gradually add 1/2 cup of lukewarm water to the flour mixture, kneading to form a smooth dough.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into 6-8 equal portions, shaping each into a ball.
Roll out each ball into a thin circle, about 3-4 inches in diameter.
In a large pot, combine 1 cup of dal and 4 cups of water, bringing to a boil.
Reduce the heat to low and let the dal simmer for 20-25 minutes, or until it is cooked and mushy.
Add 1/4 teaspoon of kokum powder and 1 tablespoon of gur to the cooked dal, stirring well to combine.
Place a rolled-out dough circle into the pot with the dal, pressing it gently into the liquid.
Cook the dhokli for 5-7 minutes, or until it is cooked through and has absorbed the flavors of the dal.
Repeat the process with the remaining dough circles, cooking them one by one in the dal.
Serve the daal dhokli hot, garnished with chopped fresh cilantro if desired."
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,60,Hard,spicy,main course,West Bengal,East,https://hebbarskitchen.com/wp-content/uploads/2020/11/moong-dal-puri-recipe-moong-dal-ki-puri-moong-dal-poori-2-1024x1536.jpeg,"Rinse 1 cup of moong dal and soak it in water for 30 minutes, then drain the water and set it aside.
Heat 2 tablespoons of oil in a pressure cooker over medium heat and sauté 2-3 minced garlic cloves until fragrant.
Add 1-2 minced green chillies to the pressure cooker and sauté for another minute.
Add the soaked and drained moong dal to the pressure cooker and sauté for 2-3 minutes, stirring constantly.
Add 2 cups of water and 1 teaspoon of garam masala powder to the pressure cooker, close the lid, and cook for 3-4 whistles or until the dal is cooked and mushy.
Let the pressure cooker cool down, then mash the dal mixture with a spoon or potato masher to desired consistency.
In a separate mixing bowl, combine 2 cups of all-purpose flour and a pinch of salt, then gradually add lukewarm water to form a smooth dough.
Knead the dough for 5-7 minutes until it becomes soft and pliable, then cover it with a damp cloth and let it rest for 30 minutes.
Divide the dough into 6-8 equal portions and shape each portion into a ball.
Roll out each ball into a thin circle, about 3-4 inches in diameter.
Place a tablespoon or two of the cooked dal mixture in the center of each circle, then fold the dough over the filling to form a half-moon shape and press the edges together to seal.
Heat a non-stick pan or griddle over medium heat and cook the puris for 30-45 seconds on each side, until they are golden brown and puffed up.
Serve the daal puris hot with a dollop of ghee or butter, if desired."
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,60,Hard,sweet,snack,Maharashtra,West,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Street_Food/Dahi_Vada_Recipe-1.jpg,"Rinse the urad dal and soak it in water for at least 4 hours or overnight, then drain and grind it into a smooth paste.
Add bhuna chana to the urad dal paste and mix well.
Heat oil in a deep frying pan over medium heat and using a spoon, drop small portions of the dal mixture into the oil to form vadas.
Fry the vadas until they are golden brown and crispy, then remove them from the oil and drain on paper towels.
In a large bowl, whisk together 1 cup of yogurt, 1/2 teaspoon of garam masala, and 1/4 teaspoon of salt until smooth.
Soak the fried vadas in the yogurt mixture for at least 30 minutes to allow them to absorb the flavors.
Meanwhile, blend 2 dates and 1 tablespoon of tamarind paste with 1/2 cup of water until smooth to make a sweet and tangy chutney.
To assemble the dahi vada, place a soaked vada on a serving plate, top it with a dollop of the yogurt mixture, and drizzle with the date-tamarind chutney.
Repeat the assembly process with the remaining vadas and serve chilled."
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,70,Hard,sweet,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2015/01/dal-makhani-recipe-restaurant-style-500x500.jpg,"Rinse the red kidney beans and urad dal together and soak them in water for at least 8 hours or overnight.
Drain the water and add 4 cups of fresh water to the soaked dal and beans, then pressure cook them until they are tender and mushy.
Heat 2 tablespoons of oil in a pan over medium heat and sauté for 1 minute.
Add 1 teaspoon of chili powder to the pan and sauté for another minute, until fragrant.
Add the cooked dal and beans to the pan, stirring well to combine with the chili powder mixture.
Add 1 teaspoon of garam masala powder to the pan and stir well to combine.
Reduce heat to low and let the dal simmer for 10-15 minutes, stirring occasionally, until the flavors have melded together and the dal has thickened slightly.
Stir in 2 tablespoons of cream and continue to simmer for another 5 minutes, until the cream has fully incorporated and the dal has reached the desired consistency.
Serve the dal makhani hot, garnished with chopped fresh cilantro if desired."
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,40,Medium,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2013/07/maa-chole-ki-dal-recipe-500x500.jpg,"Rinse 1 cup of pigeon peas and soak them in water for at least 30 minutes, then drain and set aside.
Heat 2 tablespoons of oil in a pressure cooker over medium heat.
Add 1 small finely chopped red onion and sauté until it turns light brown.
Add 1-inch piece of grated ginger and sauté for another minute.
Add the soaked and drained pigeon peas, 2 cups of water, and 1 teaspoon of garam masala to the pressure cooker.
Close the lid and cook for 3-4 whistles or until the peas are tender.
Let the pressure release naturally, then open the lid and mash some of the peas with a spoon to desired consistency.
Heat 1 tablespoon of oil in a small pan over medium heat.
Add 1/4 teaspoon of kasuri methi and let it sizzle for a few seconds.
Pour the kasuri methi oil mixture over the cooked dal and mix well.
Serve hot."
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,5,20,25,Medium,spicy,main course,Maharashtra,West,https://www.vidhyashomecooking.com/wp-content/uploads/2018/03/Daali.jpg,"Heat 2 tablespoons of coconut oil in a large pan over medium heat.
Add 1 teaspoon of mustard seeds and let them sizzle for a few seconds until they start to pop.
Add 2-3 curry leaves to the pan and sauté for a few seconds until fragrant.
Add 1-2 dried red chillies, broken into pieces, to the pan and sauté for another few seconds.
Add 1 cup of Arhar dal, rinsed and drained, to the pan and sauté for about 5 minutes, stirring frequently, until the dal is lightly roasted.
Add 2 cups of water to the pan and bring to a boil.
Reduce the heat to low, cover the pan, and let the dal simmer for about 20-25 minutes, or until it is cooked through and mushy.
Season with salt to taste, then serve hot."
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,80,Hard,sweet,dessert,Karnataka,South,https://www.crazymasalafood.com/wp-content/images/dharwad-pedha.jpg,"Boil 1 liter of Dharwadi buffalo milk in a large, heavy-bottomed pan over medium heat, stirring occasionally.
Reduce the heat to low and add 1/2 cup of sugar to the boiling milk, stirring constantly to prevent scorching.
Continue cooking the milk mixture for 10-12 minutes, or until it thickens and reduces to half its original volume, stirring frequently.
Remove the pan from the heat and let it cool slightly, until the mixture reaches 80°C to 90°C (176°F to 194°F).
Add 1/2 cup of whole milk to the mixture and stir well to combine.
Return the pan to low heat and cook for an additional 5-7 minutes, or until the mixture thickens further and reaches a consistency similar to soft dough.
Remove the pan from the heat and let the mixture cool completely to room temperature.
Once cooled, knead the mixture until it becomes smooth and pliable, similar to dough.
Shape the mixture into small, round balls, about 1 inch (2.5 cm) in diameter.
Serve the Dharwad pedha at room temperature, or store them in an airtight container in the refrigerator for up to 5 days."
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,30,Medium,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Instant_Sooji_Oats_Dhokla_Recipe_Video_For_Breakfast_Evening_Snack_15_1600.jpg,"In a large mixing bowl, combine 1 cup of rava and 1/2 cup of gram flour.
Add 1/2 cup of grated coconut to the bowl and mix well.
Add 1/2 teaspoon of mustard seeds to the bowl and mix again.
Gradually add 1 cup of lukewarm water to the bowl and mix until a smooth batter forms.
Cover the bowl with a cloth and let the batter rest for 30 minutes.
After 30 minutes, add 1 tablespoon of sesame seeds to the batter and mix well.
Grease a dhokla plate or a non-stick pan with a little oil and pour the batter into it.
Steam the dhokla for 15-20 minutes or until it is cooked through and fluffy.
Remove the dhokla from the steamer and let it cool for a few minutes.
Cut the dhokla into squares and serve hot with your favorite chutney or sauce."
Dhondas,"Cucumber, rava",vegetarian,10,50,60,Hard,sweet,dessert,Maharashtra,West,https://www.crazymasalafood.com/wp-content/images/dhondas.jpg,"Grate the cucumber and squeeze out the excess water using a muslin cloth or a paper towel.
In a bowl, mix together the grated cucumber and rava until well combined.
Add a pinch of salt to the mixture and mix well.
Cover the bowl with a cloth and let the mixture rest for 30 minutes to allow the rava to absorb the moisture.
After 30 minutes, mix the mixture again and check if it has reached a thick but pliable consistency, if not let it rest for another 15 minutes.
Once the mixture is ready, shape it into small cylindrical shapes, about 1 inch in diameter and 2-3 inches long.
Heat a non-stick pan over medium heat and add a few drops of oil to it.
When the oil is hot, add the dhondas to the pan and cook for about 3-4 minutes on each side, until they are golden brown and cooked through.
Remove the dhondas from the pan and drain on paper towels.
Serve the dhondas hot with a dollop of butter or a sprinkle of chaat masala, if desired."
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,70,Hard,sweet,dessert,Gujarat,West,https://www.crazymasalafood.com/wp-content/images/doodhpak.jpg,"Rinse 1 cup of rice thoroughly and soak it in water for 30 minutes.
Drain the water and blend the rice into a smooth paste using a blender or grinder.
In a large pan, combine 1 liter of milk, 1 cup of sugar, and the rice paste, and whisk until the sugar is dissolved.
Cook the mixture over medium heat, stirring constantly, until it comes to a boil.
Reduce the heat to low and simmer for 15-20 minutes, or until the mixture thickens and the rice is fully cooked.
Add 1/2 cup of chopped dry fruits (such as almonds, cashews, and pistachios) to the mixture and stir well.
Continue to simmer for another 5 minutes, or until the dry fruits are fully incorporated and the mixture has thickened to your liking.
Remove the pan from the heat and let the Doodhpak cool to room temperature.
Refrigerate the Doodhpak for at least 2 hours, or until chilled, before serving."
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,450,Hard,spicy,snack,-1,South,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Andhra_Kandi_Attu_Recipe_Toor_Dal_Dosa_Recipe_.jpg,"Rinse the chana dal, urad dal, and whole urad dal together and soak them in water for at least 4 hours or overnight.
Drain the water and grind the soaked dal mixture into a smooth paste using a grinder or blender.
Add 2 cups of blend rice to the grinder and grind until the mixture is well combined and the rice is fully broken down.
Transfer the mixture to a large bowl and add rock salt to taste, mixing well.
Cover the bowl with a cloth and let the mixture ferment in a warm place for 12-14 hours or overnight.
After fermentation, the mixture should have risen and have a sour smell; mix it well to redistribute the ingredients.
Heat a non-stick pan or griddle over medium heat and grease it with a few drops of water.
Using a ladle, pour a small amount of the fermented mixture onto the pan and spread it evenly to form a circular shape.
Cook the dosa for 1-2 minutes or until the edges start to curl and the surface is dry.
Loosen the dosa with a spatula and flip it over; cook for another minute or until the other side is golden brown.
Serve the dosa hot with your favorite chutney or sambar."
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,50,Hard,sweet,dessert,Telangana,South,https://www.crazymasalafood.com/wp-content/images/double-ka-meetha-1.png,"Cut the loaf bread into 1-inch thick slices and toast them until they are lightly browned and crispy.
In a large saucepan, boil 2 cups of milk over medium heat until it reduces to half its original quantity and thickens slightly.
Add 1 tablespoon of sugar to the reduced milk and stir until it dissolves completely.
Dip each toasted bread slice into the sweetened milk mixture, coating both sides evenly.
Place the milk-coated bread slices on a serving plate or tray, overlapping them slightly to form a single layer.
Pour the remaining sweetened milk mixture over the bread slices, making sure they are completely saturated.
Refrigerate the Double ka Meetha for at least 30 minutes to allow the bread to absorb the milk mixture.
Serve the Double ka Meetha chilled, garnished with chopped nuts or dried fruits if desired."
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",vegetarian,15,30,45,Hard,sweet,dessert,Gujarat,West,https://www.crazymasalafood.com/wp-content/images/Lauki-ka-Halwa.jpeg,"Peel and grate the bottle gourd, then squeeze out as much water as possible from the grated gourd using a cheesecloth or a clean cotton cloth.
Heat 2 tablespoons of clarified butter in a deep pan over medium heat and add the grated bottle gourd to it.
Cook the bottle gourd mixture for about 10-12 minutes, stirring occasionally, until it turns light brown and the raw smell disappears.
Add 1 cup of sugar to the pan and mix well with the cooked bottle gourd.
Continue cooking the mixture for another 5-7 minutes, stirring frequently, until the sugar dissolves and the mixture thickens.
Add 1/4 cup of chopped raisins to the pan and mix well with the halwa mixture.
Cook for an additional 2-3 minutes, stirring constantly, until the raisins are well coated with the halwa mixture and it reaches the desired consistency.
Remove the pan from the heat and let the dudhi halwa cool slightly before serving."
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,70,Hard,spicy,main course,Jammu & Kashmir,North,https://www.vegrecipesofindia.com/wp-content/uploads/2012/04/kashmiri-dum-aloo-recipe1.jpg,"Boil the baby potatoes in salted water until they are half-cooked, then drain the water and set the potatoes aside.
Heat 2 tablespoons of oil in a pan over medium heat and sauté the cashew nuts until they are lightly browned.
Add 1 teaspoon of garam masala to the pan and sauté for another minute, stirring constantly.
Add 2 medium-sized chopped tomatoes to the pan and sauté until they are soft and mushy.
Add 1 teaspoon of kasuri methi to the pan and sauté for another minute, stirring constantly.
Add the half-cooked baby potatoes to the pan and stir well to combine with the tomato mixture.
Add 1 cup of water to the pan and bring to a boil, then reduce the heat to low and let it simmer for 10-15 minutes or until the potatoes are fully cooked.
Season with salt to taste, then serve hot."
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,70,Hard,spicy,snack,Chhattisgarh,Central,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Priyanka_Tripathi/Fara.jpg,"Rinse the Chana dal, arhar dal, and white urad dal together and soak them in water for at least 4 hours or overnight.
Drain the water and grind the dal mixture into a smooth paste using a grinder or blender.
In a large mixing bowl, combine 1 cup of whole wheat flour and the ground dal paste, mixing well to form a dough.
Knead the dough for 5-7 minutes until it becomes smooth and pliable.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into 6-8 equal portions and shape each portion into a small ball.
Flatten each ball into a thin circle, about 3-4 inches in diameter.
Heat a non-stick pan or griddle over medium heat and cook each fara for 1-2 minutes on each side, until it's lightly browned and cooked through.
Sprinkle a pinch of garam masala powder over each fara while it's still warm.
Serve the fara hot with your favorite accompaniments."
Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper",vegetarian,15,20,35,Medium,spicy,snack,Gujarat,West,https://hebbarskitchen.com/wp-content/uploads/mainPhotos/farsi-puri-recipe-crispy-gujarati-farsi-poori-namkeen-farsi-poori-recipe-2-1068x1602.jpeg,"In a large mixing bowl, combine 2 cups of semolina and 1 cup of white flour.
Add 1/4 teaspoon of black pepper to the flour mixture and mix well.
Gradually add 1/4 cup of clarified butter to the flour mixture and mix until it resembles coarse crumbs.
Add 1/4 cup of oil to the flour mixture and mix until the dough comes together.
Knead the dough for 5-7 minutes until it becomes smooth and pliable.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into 6-8 equal portions and shape each portion into a ball.
Roll out each ball into a thin circle, about 3-4 inches in diameter.
Heat oil in a deep frying pan over medium-high heat and fry the puris until they are golden brown and puffed up.
Remove the fried puris from the oil and place them on a paper towel-lined plate to drain excess oil.
Serve the Farsi Puri warm or at room temperature."
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,75,Hard,sweet,dessert,Punjab,North,https://www.crazymasalafood.com/wp-content/images/carrot-halwa-1.jpg,"Peel and grate 2 cups of carrots and set aside.
Heat 2 tablespoons of ghee in a large pan over medium heat.
Add the grated carrots to the pan and sauté for 5-7 minutes or until they start to soften.
Add 1 cup of milk to the pan and stir well to combine with the carrots.
Bring the mixture to a boil, then reduce the heat to low and simmer for 20-25 minutes or until the carrots are tender and the milk has thickened.
Add 1 cup of sugar to the pan and stir well to combine with the carrot mixture.
Continue to simmer for another 10-15 minutes or until the halwa has thickened and the sugar has dissolved.
Add 1 tablespoon of ghee to the pan and stir well to combine with the halwa.
Add 1/4 cup of chopped cashews and 1/4 cup of raisins to the pan and stir well to combine with the halwa.
Simmer for an additional 2-3 minutes or until the cashews and raisins are well coated with the halwa.
Remove the pan from the heat and let the gajar ka halwa cool slightly before serving."
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,20,Easy,spicy,main course,Nagaland,North East,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Pumpkin_Galho.jpg/330px-Pumpkin_Galho.jpg,"Wash and soak the rice in water for at least 30 minutes, then drain the water and set the rice aside.
Cut the pork into small pieces and wash them thoroughly, then drain the water and set the pork aside.
Heat 2 cups of water in a large pot over high heat, then add 1 teaspoon of salt and bring to a boil.
Add the pork pieces to the boiling water, reduce the heat to medium, and cook until the pork is tender, about 15-20 minutes.
Add the axone to the pot and stir well to combine, then cook for an additional 5 minutes.
Add 1-2 chopped chillies to the pot, depending on desired spice level, and stir well to combine.
Add the soaked and drained rice to the pot, stirring well to combine with the pork and axone mixture.
Add 2 cups of water to the pot, stirring well to combine, then bring to a boil.
Reduce the heat to low, cover the pot with a tight-fitting lid, and cook for 15-20 minutes, or until the rice is cooked and the liquid has been absorbed.
Turn off the heat and let the galho rest for 5 minutes before serving hot."
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,10,20,30,Medium,spicy,main course,Rajasthan,West,https://www.vegrecipesofindia.com/wp-content/uploads/2018/05/gatte-ki-sabji.jpg,"In a large bowl, whisk together 1 cup of yogurt and 2 tablespoons of besan until smooth.
Add 1 teaspoon of garam masala powder to the yogurt mixture and mix well.
Gradually add 1/2 cup of gram flour to the mixture, whisking continuously to avoid lumps.
Add 1/4 cup of water to the mixture and whisk until it forms a thick, smooth batter.
Cover the bowl with a cloth and let the mixture rest for 30 minutes.
Divide the mixture into small portions and shape each portion into a cylindrical shape.
Boil a large pot of water and add the cylindrical shapes to the pot.
Cook the shapes for 15-20 minutes or until they float to the surface.
Remove the cooked shapes from the pot and let them cool.
Heat 2 tablespoons of sauce in a pan over medium heat.
Add the cooked shapes to the pan and toss them in the sauce until they are well coated.
Serve the Gatta curry hot."
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,40,Medium,sweet,dessert,Andhra Pradesh,South,https://crazymasalafood.com/wp-content/images/gavvalu-960x596.jpg.webp,"Heat 1 tablespoon of ghee in a pan over medium heat.
Add 1 cup of semolina and roast until it turns light golden brown, stirring constantly.
Remove the pan from the heat and let it cool slightly.
Add 1 cup of rice flour, 1/2 cup of sugar, and a pinch of salt to the pan and mix well.
Gradually add 1/4 cup of ghee to the mixture and mix until it forms a crumbly texture.
Add 1-2 tablespoons of lukewarm water to the mixture and mix until it forms a smooth dough.
Knead the dough for 5-7 minutes until it becomes soft and pliable.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into small portions and shape each portion into a small ball.
Flatten each ball slightly into a disk shape using a rolling pin or your fingers.
Heat a non-stick pan or griddle over medium heat and cook the gavvalu until they are golden brown on both sides.
Serve the gavvalu warm or at room temperature."
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",vegetarian,10,30,40,Medium,sweet,dessert,Assam,North East,https://crazymasalafood.com/wp-content/images/2022/09/gaintha-pitha.jpg.webp,"Rinse the sticky rice thoroughly and soak it in water for at least 4 hours or overnight.
Drain the water and grind the sticky rice into a smooth paste using a grinder or blender.
In a large mixing bowl, combine 2 cups of rice flour and 1 cup of the ground sticky rice paste.
Add 1/2 cup of grated jaggery to the bowl and mix well until the jaggery is evenly distributed.
Add 1 tablespoon of grated orange rind to the bowl and mix until well combined.
Gradually add 1/2 cup of lukewarm water to the bowl and mix until a smooth dough forms.
Knead the dough for 5-7 minutes until it becomes pliable and smooth.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into small balls, about the size of a small lemon.
Flatten each ball into a thin circle, about 1/8 inch thick.
Heat a non-stick pan or griddle over medium heat and cook the pithas for 2-3 minutes on each side, until they are golden brown and crispy.
Serve the Gheela Pitha warm or at room temperature."
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,45,Hard,sweet,dessert,Rajasthan,West,https://www.crazymasalafood.com/wp-content/images/ghevar-2.jpg,"In a large mixing bowl, combine 2 cups of flour and 1/4 teaspoon of salt, and mix well.
Add 1/4 cup of ghee to the flour mixture and mix until the dough resembles coarse crumbs.
Gradually add 1/2 cup of lukewarm milk to the dough and knead until a smooth dough forms.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into 6-8 equal portions and shape each portion into a ball.
Heat 2-3 inches of ghee in a deep frying pan over medium heat.
When the ghee is hot, add a few drops of kewra essence and mix well.
Flatten each dough ball slightly and add it to the hot ghee, frying until it puffs up and the edges start to curl.
Reduce the heat to low and cook for 5-7 minutes or until the ghevar is golden brown and crispy.
Remove the ghevar from the ghee and place it on a paper towel-lined plate to drain excess oil.
In a large saucepan, combine 1 cup of sugar, 1 cup of water, and 1/4 teaspoon of saffron threads, and bring to a boil over high heat.
Reduce the heat to medium and cook the syrup for 5-7 minutes or until it reaches a thick, one-string consistency.
Add 1/4 teaspoon of crushed green cardamom to the syrup and mix well.
Dip each ghevar into the hot syrup for 2-3 seconds on each side, coating it evenly.
Place the syrup-coated ghevar on a wire rack to drain excess syrup.
Melt 2 tablespoons of clarified butter in a small saucepan over low heat.
Add 1 tablespoon of sliced almonds and 1 tablespoon of sliced pistachio to the melted butter and mix well.
Drizzle the nut mixture over the ghevar and serve warm."
Ghooghra,"Dry fruits, semolina, all purpose flour",vegetarian,20,15,35,Medium,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Farrukh_Aziz_Ansari/Ghoogri.jpg,"Roast the semolina in a pan over medium heat, stirring frequently, until it turns light golden brown.
Remove the roasted semolina from the pan and set it aside to cool.
In the same pan, add a small amount of ghee or oil and sauté the dry fruits until they are lightly toasted.
In a large mixing bowl, combine the roasted semolina, sautéed dry fruits, and all-purpose flour.
Mix the ingredients well until they are evenly distributed.
Gradually add a small amount of ghee or oil to the mixture and mix until it forms a crumbly dough.
Knead the dough for about 5 minutes until it becomes smooth and pliable.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into small portions, about the size of a small lemon.
Shape each portion into a round ball and then flatten it slightly into a disk shape.
Heat a non-stick pan or griddle over medium heat and cook the ghooghra disks for about 2-3 minutes on each side, until they are lightly browned and crispy.
Serve the ghooghra warm or at room temperature."
Goja,"Baking soda, clarified butter, oil, all purpose flour",vegetarian,20,60,80,Hard,sweet,dessert,West Bengal,East,https://img-global.cpcdn.com/recipes/cd8eb5351eeabcb1/1360x964cq70/khasta-misti-goja-recipe-main-photo.webp,"Preheat a non-stick pan over medium heat and add 2 tablespoons of oil to it.
Once the oil is hot, add 1 tablespoon of clarified butter to the pan and let it melt.
In a small bowl, mix 1 teaspoon of baking soda with 2 tablespoons of all-purpose flour.
Add the flour mixture to the pan and stir well to combine with the oil and butter.
Cook the mixture for about 5 minutes, stirring constantly, until it turns light brown and has a nutty aroma.
Remove the pan from the heat and let the Goja cool completely before serving."
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,10,20,30,Medium,sweet,dessert,Gujarat,West,https://www.crazymasalafood.com/wp-content/images/shankerpali.jpg,"In a large mixing bowl, combine 2 cups of wheat flour and 1/2 cup of grated jaggery, mixing well until the jaggery is evenly distributed throughout the flour.
Add 1/4 cup of clarified butter to the flour mixture and mix until the dough comes together and forms a ball.
Knead the dough for 5-7 minutes until it becomes smooth and pliable.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into 6-8 equal portions and shape each portion into a thin circle, about 3-4 inches in diameter.
Heat a non-stick pan or griddle over medium heat and cook each papdi for 30-45 seconds on each side, until it is lightly browned and crispy.
Brush each papdi with a little clarified butter while it is still warm.
Sprinkle a few sliced almonds over each papdi and serve warm."
